Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,1,1,29.0,0,0,30.0,112,2
1,1,1,28.0,0,0,35.5,13,2
0,3,1,40.5,0,2,14.5,47,2
0,3,1,45.5,0,0,7.225,145,0
0,3,1,35.0,0,0,7.05,63,2
1,3,1,28.0,0,0,56.4958,145,2
1,3,0,36.0,1,0,17.4,145,2
1,3,1,28.0,0,0,56.4958,47,2
1,1,1,35.0,0,0,512.3292,15,0
0,3,1,20.0,0,0,8.05,145,2
0,1,1,28.0,1,0,82.1708,47,0
1,3,1,9.0,0,2,20.525,145,2
1,1,0,39.0,1,0,55.9,128,2
0,3,1,20.0,0,0,8.6625,47,2
1,3,0,0.75,2,1,19.2583,145,0
0,3,1,28.0,0,0,7.75,145,1
0,3,1,18.0,1,1,20.2125,145,2
1,2,0,34.0,0,0,13.0,145,2
0,3,0,18.0,0,0,6.75,63,1
0,3,1,28.0,0,0,8.05,47,2
1,3,1,19.0,0,0,8.05,145,2
0,3,1,17.0,1,0,7.0542,47,2
0,2,1,35.0,0,0,10.5,63,2
0,3,1,23.0,0,0,7.8958,145,2
0,3,1,28.0,0,0,7.8958,145,2
0,2,1,28.0,0,0,0.0,63,2
0,2,1,31.0,1,1,26.25,63,2
0,2,1,36.0,1,2,27.75,63,2
0,3,1,22.0,0,0,7.7958,63,2
1,3,0,28.0,2,0,23.25,145,1
0,3,1,26.0,1,0,7.8542,63,2
0,3,1,30.0,0,0,7.25,63,2
0,3,1,21.0,0,0,7.8542,63,2
1,1,0,23.0,1,0,113.275,103,0
1,1,1,17.0,0,2,110.8833,77,0
0,2,1,30.0,0,0,13.0,47,2
1,1,1,49.0,1,0,56.9292,4,0
1,1,1,28.0,0,0,26.55,63,2
1,1,1,27.0,1,0,53.1,137,2
0,3,0,21.0,0,0,7.75,145,1
0,3,0,23.0,0,0,7.925,145,2
0,2,1,60.0,1,1,39.0,47,2
0,3,0,25.0,1,0,7.925,63,2
0,3,0,40.0,1,0,9.475,63,2
0,3,1,28.0,0,0,8.6625,63,2
0,3,0,41.0,0,2,20.2125,63,2
1,3,0,21.0,0,0,7.65,63,2
0,3,1,18.0,1,0,6.4958,145,2
0,2,1,18.0,0,0,13.0,145,2
0,3,0,28.0,8,2,69.55,63,2
0,3,1,11.0,0,0,18.7875,63,0
1,3,0,27.0,0,1,12.475,118,2
0,3,1,36.0,0,0,0.0,63,2
0,1,1,28.0,0,0,0.0,145,2
1,3,0,28.0,0,0,7.7333,145,1
1,3,0,30.0,0,0,12.475,63,2
0,2,1,28.0,0,0,0.0,145,2
0,3,1,28.0,0,0,14.5,145,2
0,3,1,47.0,0,0,7.25,63,2
1,1,1,49.0,1,0,89.1042,86,0
0,2,1,47.0,0,0,15.0,47,2
0,3,1,28.0,0,0,7.225,63,0
0,2,1,52.0,0,0,13.0,145,2
0,3,1,26.0,1,0,14.4542,145,0
0,3,0,37.0,0,0,9.5875,47,2
0,2,1,27.0,0,0,13.0,145,2
0,1,1,70.0,1,1,71.0,20,2
1,2,0,34.0,1,1,32.5,145,2
0,3,1,21.0,0,0,8.6625,145,2
1,2,0,32.0,0,0,13.0,47,2
1,2,0,36.0,0,0,13.0,90,2
1,3,1,21.0,0,0,7.7958,63,2
1,3,1,6.0,0,1,12.475,118,2
0,1,1,62.0,0,0,26.55,83,2
1,1,0,56.0,0,1,83.1583,70,0
1,1,0,28.0,0,1,55.0,123,2
1,1,0,44.0,0,0,27.7208,28,0
1,1,1,52.0,0,0,30.5,50,2
0,3,1,19.0,0,0,7.8958,63,2
1,2,1,1.0,0,2,37.0042,47,0
1,1,1,26.0,0,0,30.0,60,0
0,1,1,71.0,0,0,49.5042,63,0
0,1,1,28.0,0,0,47.1,47,2
0,3,0,28.0,0,0,7.6292,145,1
0,3,1,33.0,0,0,8.6542,63,2
0,3,1,21.0,0,0,7.925,47,2
0,2,1,51.0,0,0,12.525,63,2
0,2,1,30.0,0,0,13.0,145,2
0,1,1,28.0,0,0,52.0,1,2
0,3,1,28.0,0,0,7.225,145,0
1,1,1,0.92,1,2,151.55,62,2
1,2,1,28.0,0,0,13.8625,63,0
0,2,1,54.0,1,0,26.0,47,2
1,2,0,18.0,0,2,13.0,47,2
0,3,1,29.0,1,0,7.0458,47,2
0,3,1,28.0,0,0,22.525,47,2
1,3,0,28.0,1,0,15.5,63,1
0,3,1,28.0,0,0,7.7375,145,1
0,1,1,50.0,1,0,55.9,128,2
1,1,0,24.0,3,2,263.0,63,2
1,1,1,32.0,0,0,30.5,33,0
0,1,1,47.0,0,0,52.0,52,2
1,3,0,31.0,0,0,8.6833,63,2
0,2,1,59.0,0,0,13.5,63,2
1,1,0,49.0,1,0,76.7292,101,0
0,3,1,40.0,1,1,15.5,63,1
0,2,0,38.0,0,0,13.0,63,2
0,1,1,47.0,0,0,34.0208,106,2
1,1,0,47.0,1,1,52.5542,102,2
1,1,0,52.0,1,0,78.2667,96,0
1,3,1,20.0,1,0,7.925,47,2
0,3,1,30.0,0,0,7.2292,63,0
1,3,1,18.0,0,0,8.05,145,2
0,3,1,28.0,0,0,9.5,63,2
1,1,0,35.0,1,0,52.0,63,2
1,1,0,50.0,0,1,247.5208,36,0
1,3,0,27.0,0,2,11.1333,145,2
0,1,1,60.0,0,0,26.55,63,2
0,3,1,22.0,0,0,7.125,63,2
0,1,1,42.0,1,0,52.0,145,2
0,2,1,34.0,0,0,13.0,145,2
1,1,0,52.0,1,1,93.5,37,2
0,3,1,16.0,0,0,9.2167,145,2
1,1,1,25.0,1,0,91.0792,31,0
0,2,1,57.0,0,0,12.35,47,1
1,1,1,27.0,0,0,76.7292,109,0
0,3,1,36.0,0,0,7.8958,63,2
0,3,0,45.0,0,1,14.4542,47,0
0,2,1,28.0,0,1,33.0,145,2
1,2,0,50.0,0,0,10.5,63,2
1,2,0,24.0,0,0,13.0,142,2
0,3,1,25.0,0,0,7.225,47,0
1,1,0,33.0,0,0,86.5,40,2
1,2,1,28.0,0,0,13.0,63,2
1,1,0,41.0,0,0,134.5,127,0
0,3,1,35.0,0,0,8.05,63,2
0,3,1,22.0,0,0,9.0,63,2
0,3,1,28.0,0,0,7.2292,47,0
0,2,1,21.0,2,0,73.5,47,2
1,1,0,53.0,2,0,51.4792,48,2
1,1,0,15.0,0,1,211.3375,32,2
1,3,1,0.42,0,1,8.5167,63,0
1,1,1,37.0,1,1,52.5542,102,2
0,3,1,28.0,0,0,7.775,145,2
0,3,1,28.0,0,0,14.4583,63,0
0,3,1,24.0,0,0,9.5,145,2
0,3,0,6.0,4,2,31.275,145,2
1,1,0,16.0,0,1,57.9792,17,0
0,3,1,34.0,0,0,8.05,63,2
0,3,1,28.0,0,0,8.05,47,2
0,3,0,28.0,0,0,7.8958,63,2
0,3,1,28.0,0,0,7.8958,47,2
1,1,0,60.0,1,0,75.25,104,0
0,3,1,28.0,0,0,7.75,145,1
0,3,0,9.0,2,2,34.375,47,2
1,3,0,18.0,0,1,9.35,145,2
0,3,0,10.0,0,2,24.15,63,2
0,3,1,28.0,0,0,7.725,47,1
1,3,0,5.0,0,0,12.475,63,2
0,2,1,34.0,1,0,21.0,145,2
1,2,0,50.0,0,0,10.5,145,2
0,2,1,29.0,1,0,21.0,145,2
1,1,1,35.0,0,0,26.2875,120,2
1,3,1,26.0,0,0,56.4958,145,2
0,1,1,28.0,0,0,0.0,16,2
1,2,0,24.0,0,2,14.5,47,2
0,3,0,18.0,0,1,14.4542,63,0
0,3,1,28.0,1,0,15.5,63,1
1,1,0,30.0,0,0,56.9292,125,0
1,3,0,28.0,0,0,7.75,145,1
1,2,0,23.0,0,0,13.7917,90,0
0,2,1,25.0,0,0,13.0,63,2
1,3,0,22.0,0,0,7.75,47,2
1,3,0,24.0,1,0,15.85,63,2
1,1,0,19.0,0,2,26.2833,107,2
0,1,1,45.5,0,0,28.5,56,2
1,1,1,25.0,1,0,55.4417,131,0
0,1,1,19.0,1,0,53.1,100,2
1,1,0,28.0,1,0,133.65,63,2
0,2,1,23.0,2,1,11.5,63,2
0,3,1,27.0,1,0,14.4542,47,0
0,1,1,28.0,0,0,26.0,3,2
1,3,0,13.0,0,0,7.2292,145,0
1,1,1,11.0,1,2,120.0,47,2
0,3,1,4.0,4,2,31.275,47,2
0,2,1,26.0,0,0,10.5,63,2
1,3,1,12.0,1,0,11.2417,145,0
1,1,1,36.0,0,0,26.3875,121,2
1,1,0,30.0,0,0,31.0,63,0
0,3,0,8.0,3,1,21.075,63,2
0,3,0,29.0,1,1,10.4625,145,2
0,3,1,26.0,0,0,7.8958,63,2
0,3,0,28.0,1,1,14.4,63,2
0,1,1,50.0,1,0,106.425,82,0
1,2,0,24.0,1,0,26.0,63,2
1,3,0,4.0,0,1,13.4167,63,0
1,3,0,28.0,0,0,7.75,47,1
1,2,0,28.0,0,0,13.0,145,2
0,3,1,61.0,0,0,6.2375,47,2
1,1,0,39.0,1,1,83.1583,130,0
0,3,1,28.0,0,0,7.75,47,1
1,3,1,28.0,0,0,7.75,63,1
0,3,1,29.0,0,0,7.775,47,2
0,3,1,28.0,0,0,7.25,63,2
1,3,0,28.0,1,0,16.1,145,2
0,1,1,52.0,1,1,79.65,134,2
0,3,1,51.0,0,0,7.75,47,2
1,3,0,5.0,4,2,31.3875,47,2
0,3,0,28.0,0,2,7.75,47,1
1,1,0,14.0,1,2,120.0,47,2
0,2,1,52.0,0,0,13.5,47,2
0,2,1,36.0,0,0,13.0,47,2
1,2,0,36.0,0,0,13.0,47,2
0,3,1,33.0,0,0,9.5,63,2
0,3,1,20.0,0,0,7.05,145,2
0,1,0,50.0,0,0,28.7125,69,0
0,1,1,29.0,1,0,66.6,61,2
0,3,0,25.0,0,0,7.775,145,2
1,1,1,36.0,0,0,26.2875,121,2
0,3,1,22.0,0,0,8.05,47,2
1,2,0,55.0,0,0,16.0,145,2
1,3,0,19.0,1,0,7.8542,47,2
0,3,1,23.5,0,0,7.2292,63,0
0,3,1,23.0,0,0,7.8542,47,2
1,1,0,19.0,0,0,30.0,30,2
1,3,1,27.0,0,0,8.6625,63,2
0,3,1,20.0,0,0,7.8542,145,2
0,3,0,28.0,0,0,7.55,63,2
0,3,1,28.0,0,0,7.7958,63,2
0,2,1,70.0,0,0,10.5,145,2
0,3,1,28.0,0,0,8.7125,63,0
0,3,1,22.0,1,0,7.25,145,2
0,1,1,40.0,0,0,0.0,46,2
1,2,1,1.0,2,1,39.0,144,2
1,1,0,54.0,1,0,59.4,47,0
1,2,0,28.0,0,0,12.35,116,1
0,2,1,27.0,0,0,26.0,63,2
0,3,0,2.0,0,1,10.4625,145,2
0,1,1,31.0,0,0,50.4958,6,2
1,2,0,4.0,2,1,39.0,144,2
1,1,1,51.0,0,0,26.55,119,2
0,2,1,30.0,0,0,13.0,47,2
1,1,0,58.0,0,0,146.5208,43,0
0,1,1,28.0,0,0,227.525,145,0
0,3,0,48.0,1,3,34.375,145,2
0,3,1,28.0,0,0,7.8958,63,2
0,3,1,28.0,0,0,8.05,63,2
0,3,1,32.0,0,0,7.8958,47,2
0,3,1,39.0,0,0,24.15,47,2
0,3,1,25.0,0,0,7.25,145,2
0,3,1,28.0,0,0,7.8958,47,0
0,3,1,11.0,5,2,46.9,63,2
0,1,1,47.0,0,0,38.5,133,2
0,3,0,3.0,3,1,21.075,63,2
0,1,1,28.0,0,0,31.0,47,2
1,3,0,18.0,0,0,7.4958,145,2
1,3,0,28.0,0,0,7.75,47,1
1,3,0,28.0,0,0,7.8792,145,1
0,1,1,49.0,1,1,110.8833,75,0
1,2,0,54.0,1,3,23.0,63,2
0,2,1,39.0,0,0,13.0,63,2
0,2,1,28.0,0,0,0.0,63,2
0,2,1,42.0,0,0,13.0,145,2
1,2,0,14.0,1,0,30.0708,145,0
0,3,1,22.0,0,0,7.2292,63,0
0,3,0,30.0,0,0,8.6625,47,2
0,3,1,28.0,0,0,7.8958,145,2
1,2,0,19.0,0,0,26.0,63,2
